table_name,column_name,new_name,keep
bordercrossing_electric,id,ID,x
bordercrossing_electric,geom,,x
bordercrossing_electric,fid,,
bordercrossing_electric,linename,linename,x
bordercrossing_electric,owner,owner,x
bordercrossing_electric,latitude,latitude,x
bordercrossing_electric,longitude,longitude,x
bordercrossing_electric,city,city,x
bordercrossing_electric,county,county,x
bordercrossing_electric,stateprov,state,x
bordercrossing_electric,frmstate,from_state,x
bordercrossing_electric,frmcountry,,
bordercrossing_electric,tostate,to_state,x
bordercrossing_electric,tocountry,,
bordercrossing_electric,num_lines,,
bordercrossing_electric,voltage_kv,volatage_kv,x
bordercrossing_electric,source,,
bordercrossing_electric,period,,
bordercrossing_electric,x,,
bordercrossing_electric,y,,
bordercrossing_liquids,id,id,x
bordercrossing_liquids,geom,geom,x
bordercrossing_liquids,fid,,
bordercrossing_liquids,pipeline,pipeline,x
bordercrossing_liquids,owner,owner,x
bordercrossing_liquids,latitude,latitude,x
bordercrossing_liquids,longitude,longitude,x
bordercrossing_liquids,city,city,x
bordercrossing_liquids,county,county,x
bordercrossing_liquids,state,state,x
bordercrossing_liquids,frmstate,from_state,x
bordercrossing_liquids,frmcountry,,
bordercrossing_liquids,tostate,to_state,x
bordercrossing_liquids,tocountry,,
bordercrossing_liquids,typeprod,typeprod,x
bordercrossing_liquids,num_pipes,num_pipes,x
bordercrossing_liquids,diameter,diameter,x
bordercrossing_liquids,maxoppress,,
bordercrossing_liquids,source,,
bordercrossing_liquids,period,,
bordercrossing_liquids,x,,
bordercrossing_liquids,y,,
bordercrossing_naturalgas,id,id,x
bordercrossing_naturalgas,geom,geom,x
bordercrossing_naturalgas,fid,,
bordercrossing_naturalgas,pipeline,pipeline,x
bordercrossing_naturalgas,owner,owner,x
bordercrossing_naturalgas,latitude,latitude,x
bordercrossing_naturalgas,longitude,longitude,x
bordercrossing_naturalgas,city,city,x
bordercrossing_naturalgas,county,county,x
bordercrossing_naturalgas,state,state,x
bordercrossing_naturalgas,frmstate,from_state,x
bordercrossing_naturalgas,frmcountry,,
bordercrossing_naturalgas,tostate,to_state,x
bordercrossing_naturalgas,tocountry,,
bordercrossing_naturalgas,vol_mmcfd,volume_mmcfd,x
bordercrossing_naturalgas,source,,
bordercrossing_naturalgas,period,,
bordercrossing_naturalgas,x,,
bordercrossing_naturalgas,y,,
compressor_stations_naturalgas,id,id,x
compressor_stations_naturalgas,geom,geom,x
compressor_stations_naturalgas,fid,fid,
compressor_stations_naturalgas,objectid,objectid,
compressor_stations_naturalgas,gcompid,gcompid,
compressor_stations_naturalgas,name,name,x
compressor_stations_naturalgas,address,address,x
compressor_stations_naturalgas,city,city,x
compressor_stations_naturalgas,state,state,x
compressor_stations_naturalgas,zip,zip,x
compressor_stations_naturalgas,zip4,zip5,
compressor_stations_naturalgas,type,type,x
compressor_stations_naturalgas,status,status,x
compressor_stations_naturalgas,county,county,x
compressor_stations_naturalgas,countyfips,countyfips,
compressor_stations_naturalgas,country,country,
compressor_stations_naturalgas,latitude,latitude,x
compressor_stations_naturalgas,longitude,longitude,x
compressor_stations_naturalgas,naics_code,naics_code,x
compressor_stations_naturalgas,naics_desc,naics_desc,x
compressor_stations_naturalgas,source,source,x
compressor_stations_naturalgas,sourcedate,sourcedate,
compressor_stations_naturalgas,val_method,val_method,
compressor_stations_naturalgas,val_date,val_date,
compressor_stations_naturalgas,website,website,x
compressor_stations_naturalgas,pipeco,pipeco,x
compressor_stations_naturalgas,compid,compid,
compressor_stations_naturalgas,operator,operator,x
compressor_stations_naturalgas,posrel,posrel,
compressor_stations_naturalgas,num_units,num_units,x
compressor_stations_naturalgas,cert_hp,cert_horsepower,x
compressor_stations_naturalgas,plant_cost,plant_cost,x
compressor_stations_naturalgas,exp_fuel,exp_fuel,x
compressor_stations_naturalgas,exp_other,exp_other,x
compressor_stations_naturalgas,gas_compre,vol_gas_compressed,x
compressor_stations_naturalgas,op_comp_hr,op_comp_hr,x
compressor_stations_naturalgas,op_num_com,op_num_com,x
compressor_stations_naturalgas,op_date_pe,op_date_pe,x
compressor_stations_naturalgas,exp_power,exp_power,x
compressor_stations_naturalgas,elec_compr,elec_compr,x
compressor_stations_naturalgas,x,,
compressor_stations_naturalgas,y,,
electric_generator_inventory_860m,id,,x
electric_generator_inventory_860m,geom,,x
electric_generator_inventory_860m,status_1,operating_status,x
electric_generator_inventory_860m,rpt_dt,report_date,x
electric_generator_inventory_860m,ent_id,entity_id,x
electric_generator_inventory_860m,ent_name,entity_name,x
electric_generator_inventory_860m,plnt_id,plant_id,x
electric_generator_inventory_860m,plnt_nm,plant_nm,x
